Name,ABN,Total income $,Taxable income $,Tax payable $,Income year
MARUBENI ITOCHU STEEL OCEANIA PTY LTD,78098025506,107544012,1625719,487716,2019-20
MARUBENI-ITOCHU TUBULARS OCEANIA PTY LTD,87077953827,174259609,13065154,3907339,2019-20
MASTERCARD AUSTRALIA HOLDING PTY LTD,83143337722,318281195,2009700,0,2019-20
MASTERMYNE GROUP LIMITED,96142490579,297415125,15308260,4592365,2019-20
MATRAD PTY LTD,27011019088,148462170,0,0,2019-20
MATTEL PTY LTD,60000660962,108815826,645049,193515,2019-20
MAULES CREEK MARKETING PTY LTD,73140534256,127496755,0,0,2019-20
MAVEN DENTAL GROUP PTY LTD,80131333492,113203866,2230275,669082,2019-20
MAXIMUS AUSTRALIA HOLDING COMPANY PTY LTD,91608016128,215025843,11394703,2819697,2019-20
MAXITRANS INDUSTRIES LIMITED,58006797173,324988397,0,0,2019-20
MAYNE PHARMA GROUP LTD,76115832963,106746028,11570325,0,2019-20
MAZDA AUSTRALIA PTY LTD,78004690804,2730358952,131204419,39242330,2019-20
MC RESOURCES AUSTRALIA PTY LTD,86142911233,353295937,4505615,0,2019-20
MCCAIN FOODS (AUST) PTY LTD,96000629587,700774177,22192345,6646492,2019-20
MCCORMICK FOODS AUSTRALIA PTY LTD,62004763259,225717498,29082669,8724801,2019-20
MCDONALDS AUSTRALIAN PROPERTY CORPORATION,55002913555,1835886512,512505712,151613779,2019-20
MCKINSEY PACIFIC RIM INC,66055131443,436307633,3750081,1093754,2019-20
MCMILLAN SHAKESPEARE LIMITED,74107233983,416657777,79189732,23750808,2019-20
MCPHERSON'S LIMITED,98004068419,207699616,27553097,8233851,2019-20
MEARS GROUP PTY LTD,92149486500,269612294,0,0,2019-20
MEDIA INNOVATIONS HOLDINGS PTY LTD,21636073884,109440915,0,0,2019-20
MEDIBANK PRIVATE LIMITED,47080890259,6838424211,779625444,230956798,2019-20
MEDION AUSTRALIA PTY LIMITED,58106611330,164357527,24370578,7311173,2019-20
MEDLINE STELLAR AUSTRALIA PTY LTD,94149963226,155797302,3081794,905369,2019-20
MEDTRONIC AUSTRALASIA PTY LTD,47001162661,997451478,111012843,32268541,2019-20
MEIJI DAIRY AUSTRALASIA PTY LTD,34064273418,126478853,283350,85005,2019-20
MEMBERS EQUITY BANK LIMITED,56070887679,967508929,138258254,41477476,2019-20
MEMOCORP AUSTRALIA PTY LTD,57051213800,108163000,45495827,13648748,2019-20
MENZIES AVIATION HOLDINGS AUSTRALIA PTY LTD,18102031836,327222916,14691105,4407332,2019-20
MERCK HEALTHCARE PTY LTD,72006900830,133467602,15326393,4597918,2019-20
MERCK SHARP & DOHME (HOLDINGS) PTY LTD,57000235245,850899886,98958332,7117847,2019-20
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,88143533322,431442517,0,0,2019-20
MERLIN ENTERTAINMENTS (AUSTRALIA) PTY LTD,51147624557,310627530,86878792,25822633,2019-20
MERRILL LYNCH (AUSTRALASIA) PTY LTD,72075923894,626600261,4603823,1381147,2019-20
METALS X LIMITED,25110150055,165601154,0,0,2019-20
METCASH LIMITED,32112073480,15938658512,242612493,70611975,2019-20
METECNO PTY LTD,44096402934,113015644,4644177,1393253,2019-20
METLIFE INSURANCE LIMITED,75004274882,928612233,16292241,4813083,2019-20
METRO MINING LIMITED,45117763443,219833457,0,0,2019-20
METRO TRAINS AUSTRALIA PTY LTD,88614061960,1965495390,41662837,12498851,2019-20
METRO TRAINS SYDNEY PTY LTD,54600820737,131390099,0,0,2019-20
METROLL PTY LTD,97001446439,124676276,3759609,1127883,2019-20
METROLL QUEENSLAND PTY LTD,17010035266,101156598,1089155,147144,2019-20
METROLL VICTORIA PTY LTD,60005505135,147253472,2816481,844944,2019-20
METSO AUSTRALIA LIMITED,99000197428,531334426,10552883,3161306,2019-20
MFF CAPITAL INVESTMENTS LIMITED,32121977884,463154652,406442656,118177129,2019-20
MFS INTERNATIONAL AUSTRALIA PTY LIMITED,68607579537,106689203,24881151,7464345,2019-20
MFS LOGISTICS PTY LIMITED,31125320658,171262062,1286512,385954,2019-20
MHG HOTEL HOLDING AUSTRALIA PTY LTD,49153049917,493287810,0,0,2019-20
MICHAEL HILL INTERNATIONAL LIMITED,25610937598,615802579,2031846,172494,2019-20
MICHAEL PAGE INTERNATIONAL (AUSTRALIA) PTY LTD,58002872264,198555165,6288414,1886524,2019-20
MICHELIN AUSTRALIA PTY LTD,84006761628,933752000,29694780,6400996,2019-20
MICRO FOCUS AUSTRALIA PTY LTD,73614548346,123933994,1056361,304825,2019-20
MICROSOFT DATACENTER (AUSTRALIA) PTY LIMITED,31163792078,900977896,49089142,14726743,2019-20
MICROSOFT PTY LTD,29002589460,4225259814,320370728,89221683,2019-20
MIDDLEMOUNT COAL PTY LTD,49122348412,515371360,0,0,2019-20
MIDWAY LTD,44005616044,229837458,0,0,2019-20
MIELE AUSTRALIA PTY LIMITED,96005635398,392500390,9116243,2734873,2019-20
MILLENNIUM SERVICES GROUP LIMITED,11607926787,267830918,0,0,2019-20
MILLER POHANG COAL COMPANY PTY LTD,99001588209,514717000,0,0,2019-20
MILTON CORPORATION LIMITED,18000041421,126787338,162004179,5286539,2019-20
MINERAL RESOURCES LIMITED,33118549910,3476598898,1738078495,521423548,2019-20
MINERVA FINANCIAL GROUP PTY LIMITED,43124171759,250104216,0,0,2019-20
MINGARA RECREATION CLUB LTD,81001662648,144611015,0,0,2019-20
MINIMED PTY LIMITED,39092459464,120213567,28638,8591,2019-20
MINJAR GOLD PTY LTD,15119514528,160487806,234381,70314,2019-20
MIPS INSURANCE PTY LTD,81089048359,101391101,0,0,2019-20
MIRVAC LIMITED,92003280699,1925028699,1585713,0,2019-20
MITCHELL SERVICES LTD,31149206333,179542421,1522210,456663,2019-20
MITEK AUSTRALIA LTD,98004564587,121119941,49123859,14152886,2019-20
MITSUBISHI AUSTRALIA LTD,81004354278,152688472,0,0,2019-20
MITSUBISHI DEVELOPMENT PTY LTD,17009779873,7436255926,1981331722,589441454,2019-20
MITSUBISHI ELECTRIC AUSTRALIA PTY LTD,58001215792,420793999,16599367,4935809,2019-20
MITSUBISHI HEAVY INDUSTRIES AIR CONDITIONERS AUSTRALIA PTY LTD,92133980275,214610971,12379474,3678751,2019-20
MITSUBISHI MOTORS AUSTRALIA LIMITED,53007870395,2033304151,43733426,13120028,2019-20
MITSUI & CO. (AUSTRALIA) LTD,64004349795,7827887239,3385580323,587899005,2019-20
MITSUI MATUSHIMA INTERNATIONAL PTY LIMITED,72100874600,174755126,46149446,13844834,2019-20
MITSUI SUMITOMO INSURANCE COMPANY LTD,49000525637,160140027,0,0,2019-20
MITSUI-ITOCHU IRON PTY LTD,84008702761,1860753759,694832384,208449715,2019-20
"MIZUHO BANK, LTD (SYDNEY BRANCH)",83099031106,912764579,119620896,35886269,2019-20
MLC LIMITED,90000000402,1995473312,0,0,2019-20
MMA OFFSHORE LIMITED,21083185693,163191853,0,0,2019-20
MMG AUSTRALIA LIMITED,23004074962,946623300,56643102,0,2019-20
MML HOLDINGS LIMITED,55084402380,2983129744,210786903,62862752,2019-20
MNF GROUP LIMITED,37118699853,157505079,18918828,4610964,2019-20
MOBIL PNG GAS HOLDINGS PTY LTD,35008633707,1155583333,3009216,902765,2019-20
MOBIS PARTS AUSTRALIA PTY LTD,34107778156,150481244,12403561,3721068,2019-20
MOELIS AUSTRALIA LIMITED,68142008428,158269530,53966027,16186075,2019-20
MOET HENNESSY AUSTRALIA PTY LIMITED,26104454604,304959981,13230564,3969169,2019-20
MOFFAT GROUP PTY LTD,92069691407,138966221,24732866,6887326,2019-20
MONADELPHOUS GROUP LIMITED,28008988547,1342840619,11069856,122275,2019-20
MONASH IVF GROUP LTD,90169302309,138267076,10159098,3047729,2019-20
MONDE NISSIN (AUSTRALIA) PTY LTD,25169518325,269129939,0,0,2019-20
MONDELEZ AUSTRALIA GROUP CO PTY LTD,53147371846,1444131171,60642414,16716142,2019-20
MONEY3 CORPORATION LIMITED,63117296143,111239294,43043113,12784596,2019-20
MOONSTONE ASSETS PTE. LTD.,NA,200131680,72899673,21869902,2019-20
MORGAN STANLEY AUSTRALIA FINANCE PTY LIMITED,84086080015,607962584,29727666,8918300,2019-20
MORPHIC ETHICAL EQUITIES FUND LIMITED,52617345123,119565238,4597730,1209506,2019-20
MORTGAGE CHOICE LIMITED,57009161979,175379891,19724608,5196748,2019-20
MOSAIC BRANDS LIMITED,96003321579,648710737,0,0,2019-20
MOTA INVESTMENTS PTY LTD,98158946144,195931818,13599035,4079710,2019-20
MOTORCYCLE HOLDINGS LIMITED,29150386995,369689198,19484884,5845465,2019-20
MOTOROLA SOLUTIONS AUSTRALIA PTY LTD,16004742312,378273242,8395329,2518599,2019-20
MOTORONE TOPCO PTY LTD,82613793472,185630084,189844,0,2019-20
MOTT MACDONALD AUSTRALIA PTY LTD,13134120353,138815975,13802001,4140600,2019-20
MOTUS AUSTRALIA PTY LTD,79113527263,359730504,0,0,2019-20
MOUNT GIBSON IRON LIMITED,87008670817,470035734,0,0,2019-20
MP AUSTRALIA HOLDINGS PTY LTD,37156629211,254248130,0,0,2019-20
MPC KINETIC HOLDINGS LIMITED,68626678911,410229072,12865948,3420926,2019-20
MRFF INVESTMENT COMPANY NO.2 PTY LTD,50610668785,116057120,32559321,7932736,2019-20
MTR CORPORATION (SYDNEY) NRT PTY LTD,57166934121,106738894,19438729,5831619,2019-20
MTR CORPORATION (SYDNEY) SMCSW PTY LTD,53615158122,193700021,61520932,18456280,2019-20
"MUFG BANK, LTD.",75103418882,1049108031,0,0,2019-20
MULPHA AUSTRALIA LIMITED,44002888039,396527847,9616138,2572347,2019-20
MULTI MARKET SERVICES AUSTRALIA HOLDINGS PTY LTD,50000026228,349850129,42641009,12789579,2019-20
MULTI-COLOR AUSTRALIA HOLDINGS PTY LTD,28129274719,103505545,3389822,1016947,2019-20
MUNCHENER RUCKVERSICHERUNGS GESELLSCHAFT,90009763526,1473401569,22404224,0,2019-20
MUNDIPHARMA PTY LIMITED,87081322509,179024576,18152364,5445709,2019-20
MUNICH HOLDINGS OF AUSTRALASIA PTY LTD,80000159651,1746500879,0,0,2019-20
MURRAY & ROBERTS PTY LTD,33105617865,872000755,0,0,2019-20
MURRAY ENGINEERING PTY LTD,21119603655,105419949,1207646,362294,2019-20
MYER HOLDINGS LIMITED,14119085602,2279710746,0,0,2019-20
MYLAN AUSTRALIA HOLDING PTY LTD,52127537302,601828268,0,0,2019-20
MYLAN HEALTH PTY LTD,29601608771,173583693,12035957,3610787,2019-20
MYOB GROUP CO PTY LTD,23630725825,288218362,0,0,2019-20
MYOB GROUP PTY LTD,61153094958,126085978,21515321,3531124,2019-20
MYSALE GROUP PLC,53602567546,141494461,0,0,2019-20
MYSTATE LIMITED,26133623962,218286595,47676803,14303041,2019-20
NAMOI COTTON LIMTIED,76010485588,289115309,0,0,2019-20
NANDO'S AUSTRALIA PTY LTD,20079066407,216850120,0,0,2019-20
NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,49169448837,103298522,0,0,2019-20
NASDAQ AUSTRALIA HOLDINGS PTY LTD,15145262371,178399468,70491162,20913413,2019-20
NATIONAL AUSTRALIA BANK LIMITED,12004044937,35197527514,5875601871,1753077501,2019-20
NATIONAL ROADS & MOTORISTS ASSOCIATION LIMITED,77000010506,662674198,20318337,3099199,2019-20
NATIONAL STORAGE HOLDINGS LIMITED,38166572845,175093100,0,0,2019-20
NATIONAL TYRE & WHEEL LTD,97095843020,133231996,10111745,3024049,2019-20
NATURA BRAZIL PTY LTD,41162093030,214882891,27312146,2797632,2019-20
NAVAL SHIP MANAGEMENT (AUSTRALIA) PTY LTD,56158512157,180201315,14207316,4262195,2019-20
NBN CO LIMITED,86136533741,3881582698,0,0,2019-20
NCR AUSTRALIA PTY LTD,61000003592,217139297,11451200,3424552,2019-20
NEARMAP LTD,37083702907,100288269,18942306,0,2019-20
NEC AUSTRALIA PTY LTD,86001217527,417954344,0,0,2019-20
NEMO (BC) HOLDCO PTY LTD,13614209880,181612703,0,0,2019-20
NEP-GTV HOLDCO PTY LTD,34167517660,172324838,0,0,2019-20
NESTLE AUSTRALIA LIMITED,77000011316,2270924998,200886838,40958838,2019-20
NETAPP AUSTRALIA PTY LTD,14092499431,235866134,1946491,583947,2019-20
NETGEAR AUSTRALIA PTY LTD,17131554366,109661026,3158435,947530,2019-20
NETWEALTH GROUP LIMITED,84620145404,125501703,60401938,18106600,2019-20
NEW CENTENARY PTY LTD,21168183864,265522481,10846732,3254020,2019-20
NEW CENTURY RESOURCES LTD,53142165080,188515284,0,0,2019-20
NEW FORESTS PTY LIMITED,76114145274,212466286,130451566,39135470,2019-20
NEW HOPE CORPORATION LIMITED,38010653844,1087882992,15918417,4378577,2019-20
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23003502654,1934322677,0,0,2019-20
NEWCASTLE PERMANENT BUILDING SOCIETY LIMITED,96087651992,392365096,47271433,14181430,2019-20
NEWCREST MINING LIMITED,20005683625,4129364247,624566142,184301440,2019-20
NEWFURN FLOOR COVERINGS LTD,63004650668,171225432,0,0,2019-20
NEWGEN KWINANA HOLDINGS PTY LTD,68116576955,174065018,12426223,3727867,2019-20
NEWMONT AUSTRALIA PTY LTD,95099040507,2682762689,546202110,161517055,2019-20
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32105197028,1734704343,0,0,2019-20
NEXANS AUSTRALIA HOLDING PTY LTD,52122486195,397296938,0,0,2019-20
NEXTDC LIMITED,35143582521,205728670,0,0,2019-20
NEXUS DAY HOSPITALS HOLDINGS PTY LTD,75165809101,123480250,7838139,2351442,2019-20
NH FOODS AUSTRALIA PTY LTD,87001548401,1016015318,0,0,2019-20
NIB HOLDINGS LIMITED,51125633856,2360301353,229801127,68111308,2019-20
NICK SCALI LIMITED,82000403896,261440331,60239488,18060594,2019-20
NIKE AUSTRALIA PTY LTD,99055141743,517704093,32575012,9772504,2019-20
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,60122203892,2390153530,217944256,52588356,2019-20
NINTENDO AUSTRALIA PTY LIMITED,43060566083,369734868,25372273,7611682,2019-20
NIPPON STEEL AUSTRALIA PTY. LIMITED,64001445049,1371062889,905476312,270466085,2019-20
NISSAN MOTOR CO (AUSTRALIA) PTY LTD,54004663156,2117205979,68870894,18993327,2019-20
NOBLEOAK LIFE LIMITED,85087648708,175881375,13047615,3914284,2019-20
NOKIA SOLUTIONS AND NETWORKS AUSTRALIA PTY LTD,74122172365,693799294,5211289,1563387,2019-20
NOMURA RESEARCH INSTITUTE AUSTRALIA PTY LTD,40621613385,421369044,18388348,4969699,2019-20
NORCO,17009717417,684443000,97862,29359,2019-20
NORITZ AUSTRALIA PTY LTD,71603048308,110947859,3042600,912780,2019-20
NORMET ASIA PACIFIC PTY LTD,73119159625,104517534,1827682,548305,2019-20
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50003902985,455950549,0,0,2019-20
NORTH QUEENSLAND BULK PORTS CORPORATION,36136880218,115156878,34270984,10099728,2019-20
NORTHERN CO-OPERATIVE MEAT COMPANY LTD,42060208366,196502928,0,0,2019-20
NORTHERN STAR RESOURCES LTD,43092832892,1611914537,186170841,55725022,2019-20
NORTHROP GRUMMAN AUSTRALIA PTY LIMITED,78156458981,316672439,7721825,0,2019-20
NORTON GOLD FIELDS PTY LTD,23112287797,367399083,63618718,9509164,2019-20
NOTE PRINTING AUSTRALIA LIMITED,86082630671,124283592,5959249,0,2019-20
NOV AUSTRALIA PTY LTD,77004449478,117680287,0,0,2019-20
NOVA EYE MEDICAL LIMITED,15007702927,112300802,49502559,8852163,2019-20
NOVARTIS AUSTRALIA PTY LIMITED,81004371224,1031996848,104630631,23796681,2019-20
NOVO NORDISK PHARMACEUTICALS PTY LIMITED,40002879996,244403821,11733948,2569147,2019-20
NRW HOLDINGS LTD,95118300217,2011915760,0,0,2019-20
NSC (AUSTRALIA) PTY LTD,71607111268,283923068,29804690,8915001,2019-20
NTI LIMITED,84000746109,114148699,6292486,1887746,2019-20
NTT AUSTRALIA PTY LTD,65003371239,1503292683,0,0,2019-20
NTT AUSTRALIA SOLUTIONS PTY LTD,35081031432,209390339,0,0,2019-20
NUFARM LIMITED,37091323312,1476192924,0,0,2019-20
NUTRICIA AUSTRALIA PTY LTD,99076246752,713208426,77906592,23371978,2019-20
NXE AUSTRALIA PTY LIMITED,85625190990,2764510734,0,0,2019-20
NYRSTAR HOBART PTY LTD,49124818113,420797119,0,0,2019-20
NYRSTAR PORT PIRIE PTY LTD,31008046428,723170804,57396276,11510963,2019-20
OAKBRIDGE PTY LIMITED,67000230419,1453444420,451721744,133465730,2019-20
OFFICEMAX INTERNATIONAL PTY LTD,78073257379,190627633,0,0,2019-20
OFFSHORE REINSURER (BERMUDA) COMPANY LIMITED,68977393511,1049368982,461908,138572,2019-20
OJI OCEANIA MANAGEMENT (AUS) PTY LTD,52169111362,136784388,0,0,2019-20
OKR TECHNICAL SERVICES AUSTRALIA PTY LTD,52612348222,234615987,0,0,2019-20
OLAM INVESTMENTS AUSTRALIA PTY LTD,17124391920,147447047,1949653,363024,2019-20
OLAM ORCHARDS AUSTRALIA PTY LTD,15139442532,942601483,336959468,100162345,2019-20
OLYMPUS AUSTRALIA PTY LTD,90078493295,201639450,15932699,4779810,2019-20
OM (MANGANESE) LTD,60097091506,140692853,1055619,316686,2019-20
OMNI BRIDGEWAY LIMITED,45067298088,114669650,0,0,2019-20
OMNICOM MEDIA GROUP AUSTRALIA PTY LTD,74129754883,272781496,31043353,9311883,2019-20
OMYA AUSTRALIA PTY LIMITED,97001682533,115463320,10146402,3043921,2019-20
ONE DIVERSIFIED PTY LTD,22632586844,106894112,3345441,1003632,2019-20
ONE STOP WAREHOUSE PTY LTD,46161849323,348382211,9003191,2700957,2019-20
ONESUBSEA AUSTRALIA HOLDINGS PTY LTD,82162438333,145042256,6789145,2036743,2019-20
ONLINE EDUCATION SERVICES PTY LTD,75148177959,134451869,33556934,10067080,2019-20
ONSITE RENTAL GROUP LIMITED,42126396852,247905404,0,0,2019-20
ONTEX MANUFACTURING PTY LTD,16145822528,169056756,4085858,1225757,2019-20
OOH!MEDIA LIMITED,69602195380,595610322,58294420,17488326,2019-20
OPIC AUSTRALIA PTY LTD,66008603487,234341356,0,0,2019-20
OPTEON GROUP HOLDINGS LIMITED,20616574755,106619687,18944629,5682893,2019-20
OPTIVER AUSTRALIA HOLDINGS PTY LIMITED,35077364286,550513022,26278305,4365020,2019-20
ORICA LIMITED,24004145868,2820302654,86794797,0,2019-20
ORICA MINING SERVICES PILABRA PTY LTD,65158151369,174025064,0,0,2019-20
ORIENTAL MERCHANT PTY LTD,34007368925,285696720,18413370,5524011,2019-20
ORIGIN ENERGY LIMITED,30000051696,14460326251,0,0,2019-20
ORIX AUSTRALIA CORPORATION LIMITED,79002992681,293664803,4087219,1226166,2019-20
ORORA LIMITED,55004275165,1978653331,262016924,74498068,2019-20
OSAKA GAS AUSTRALIA PTY LTD,49093246381,231475123,0,0,2019-20
OSIRIS HOLDINGS PTY LIMITED,29168919391,2292713292,0,0,2019-20
OUR VACATION CENTRE PTY LTD,54105542176,171243416,1763446,529034,2019-20
OUTOTEC PTY LTD,74003491165,301546027,5830091,711915,2019-20
OVATO LIMITED,39050148644,469866819,0,0,2019-20
OVERSEA-CHINESE BANKING CORPORATION LIMITED,94073598035,358912972,119188061,35756418,2019-20
OWENS-ILLINOIS HOLDING (AUSTRALIA) PTY LTD,30002060059,722492382,0,0,2019-20
OZ GROUP CO-OP LIMITED,73482255177,206244485,885492,265648,2019-20
OZ MINERALS LIMITED,40005482824,1068642371,147611009,44283303,2019-20
OZGEN HOLDINGS AUSTRALIA PTY LTD,34128655096,456179791,8030865,2409260,2019-20
PACCAR AUSTRALIA PTY LTD,43004669667,960866000,108860453,31982951,2019-20
PACIFIC ASIA EXPRESS PTY LTD,65051866409,211512174,1232248,369674,2019-20
PACIFIC INVEST DECEMBER 2004 PTY LTD,58112150973,816436561,20286763,6083686,2019-20
PACIFIC LIFE RE (AUSTRALIA) PTY LTD,91601822431,916011137,0,0,2019-20
PACIFIC SMILES GROUP LTD,42103087449,129952308,14841406,4452422,2019-20
PACT GROUP HOLDINGS LIMITED,55145989644,1712750079,35604185,10418240,2019-20
PADDY POWER AUSTRALIA PTY LTD,83133081491,831352499,110457131,27927712,2019-20
PALO ALTO NETWORKS (AUSTRALIA) PTY LTD,43160218379,112532663,0,0,2019-20
PAMIERS PTY LIMITED,57010650236,155173052,167091935,50020382,2019-20
PANASONIC AUSTRALIA PTY LIMITED,83001592187,331936018,12577796,3773339,2019-20
PANAUST LIMITED,17011065160,291237419,0,0,2019-20
PANDROL AUSTRALIA PTY LIMITED,90000061227,135896609,18268337,5368084,2019-20
PAPER AUSTRALIA PTY LTD,63061583533,745454304,0,0,2019-20
PAPUAN OIL SEARCH LIMITED,62000251025,259601887,7065818,2019587,2019-20
PARAGON CARE LIMITED,76064551426,194943752,0,0,2019-20
PARK FREIGHT INTERNATIONAL PTY LTD,84001954203,160985370,1850786,555236,2019-20
PARK24 AUSTRALIA PTY LTD,58616101341,213088762,0,0,2019-20
PARKER HANNIFIN AUSTRALIA HOLDING PTY LIMITED,61117010107,347720388,25831125,7499410,2019-20
PASTEL HOLDINGS PTY LTD,33168929566,462903184,20893341,6268002,2019-20
PAYPAL AUSTRALIA PTY LTD,93111195389,695273063,30890977,9267293,2019-20
PE WHEATSTONE PTY LTD,53158341612,692552436,0,0,2019-20
PEABODY AUSTRALIA HOLDCO PTY LTD,61154820130,2939750714,77646998,0,2019-20
PEARL HOTELS C 2013 PTY LIMITED,27165640853,109101682,0,0,2019-20
PEARSON AUSTRALIA HOLDINGS PTY LTD,62103243858,248892825,18351361,5386726,2019-20
PEET LIMITED,56008665834,168139148,15933224,4395548,2019-20
PELICAN ACQUISITION COMPANY PTY LTD,94146841027,313226315,16389031,4916709,2019-20
PENDAL GROUP LIMITED,28126385822,341692189,51933553,15366562,2019-20
PENGUIN RANDOM HOUSE AUSTRALIA PTY LTD,28004815703,173726526,0,0,2019-20
PENRITH RUGBY LEAGUE CLUB LTD,57000578398,103773181,0,0,2019-20
PENSKE TRANSPORTATION GROUP INTERNATIONAL PTY LTD,42164850355,658633051,28566184,8147390,2019-20
PENTAL LIMITED,29091035353,189085612,9295291,2780972,2019-20
PEOPLE INFRASTRUCTURE LTD,39615173076,367428379,18122155,5436646,2019-20
PEPPER GROUP PTY LIMITED,55094317665,965105889,31629043,9225552,2019-20
PEPSICO FOODS GROUP PTY LIMITED,71122527137,1358168890,62736727,18821018,2019-20
PERENTI GLOBAL LIMITED,95009211474,1133747828,0,0,2019-20
PERILYA LIMITED,85009193695,359113874,0,0,2019-20
PERNOD RICARD PACIFIC HOLDING PTY LTD,16003678484,577872878,0,0,2019-20
PERPETUAL LIMITED,86000431827,484968264,133843613,39763119,2019-20
PERSOL AUSTRALIA HOLDINGS PTY LTD,58620794130,2360913440,4315856,1294757,2019-20
PERTH ENERGY HOLDINGS PTY LTD,20611228221,108236696,0,0,2019-20
PET CARE HOLDINGS AUSTRALIA PTY LTD,77000060364,6947269634,190939857,57221037,2019-20
PETRO DIAMOND AUSTRALIA PTY LTD,66155097242,303491977,0,0,2019-20
PETRO NATIONAL PTY LIMITED,83606401325,423748877,1696671,509001,2019-20
PETROCHINA INTERNATIONAL (AUSTRALIA) PTY LTD,67618641697,906988502,1367407,410222,2019-20
PETROLEUM HELICOPTERS AUSTRALIA PTY LTD,48154419628,101387259,0,0,2019-20
PETRONAS AUSTRALIA PTY LIMITED,25064998867,1126436779,0,0,2019-20
PFG PROPERTIES PTY LTD,93100371220,132272532,8584634,2575390,2019-20
PFG TOPCO 1 PTY LTD,35604317875,1012718077,45268256,13580477,2019-20
PFIZER AUSTRALIA INVESTMENTS PTY LTD,86146429138,1113956059,101393564,30418069,2019-20
PHILIP MORRIS (AUSTRALIA) LIMITED,68004316901,3400839815,183194728,54958418,2019-20
PHILIPS ELECTRONICS AUSTRALIA LIMITED,24008445743,479898310,16012516,4803755,2019-20
PIMCO AUSTRALIA PTY LIMITED,54084280508,131319540,58209868,17462960,2019-20
PINDAN CONTRACTING PTY LTD,51120076360,172876105,2981310,894393,2019-20
PINDAN GROUP PTY LTD,90611922386,140321865,0,0,2019-20
PIONEER SAIL HOLDINGS PTY LTD,45617844569,4196143440,384388269,89828105,2019-20
PIPEMAKERS AUSTRALIA PTY LTD,76061712365,163752027,3704247,1111274,2019-20
PIRELLI TYRES AUSTRALIA PTY LTD,63001784014,121673979,3855333,1156165,2019-20
PLATINUM ASIA INVESTMENTS LIMITED,13606647358,168324061,33410911,9613700,2019-20
PLATINUM ASSET MANAGEMENT LIMITED,13050064287,296507377,212812490,63293580,2019-20
PLATINUM CAPITAL LIMITED,51063975431,169295166,24817599,6355007,2019-20
PLATINUM OPERATIONS PTY LTD,66140741153,168441862,5613573,1684072,2019-20
PLUMBERS SUPPLIES CO-OPERATIVE LIMITED,55053236436,131970199,0,0,2019-20
POLICE & NURSES LIMITED,69087651876,200345640,17597832,5086420,2019-20
POLLY HOLDCO PTY LTD,58627160794,133753426,9474221,2842266,2019-20
POLYAIRE HOLDINGS PTY LIMITED,59007766369,131355411,4520912,1356274,2019-20
PON HOLDING AUSTRALIA PTY LTD,67164517104,159428575,0,0,2019-20
PORSCHE CARS AUSTRALIA PTY LTD,67004327048,641610372,27524401,8257320,2019-20
PORT WARATAH COAL SERVICES LIMITED,99001363828,341267292,54921354,15985283,2019-20
POSCO AUSTRALIA PTY LTD,54002062160,206935381,75177326,16694849,2019-20
POWERCHINA AUSTRALIA DEVELOPMENT PTY LTD,79602627592,179385525,0,0,2019-20
PPG INDUSTRIES AUSTRALIA PTY LTD,82055500939,513913130,61032319,18041410,2019-20
PREMIER COAL HOLDINGS PTY LTD,89158560911,449966878,0,0,2019-20
PREMIER INVESTMENTS LIMITED,64006727966,1039547117,189593951,52586204,2019-20
PREMIUM FLOORS AUSTRALIA PTY LTD,15152867984,377617049,2369660,0,2019-20
PRESTIGE AUTO TRADERS AUSTRALIA PTY LTD,11105105771,245277443,5123756,1537127,2019-20
PRIMAPLAS PTY LIMITED,94003720474,213671430,7783775,2329333,2019-20
PRIME MEDIA GROUP LIMITED,97000764867,163688461,12427516,3728255,2019-20
PRIMERO GROUP LTD,96149964045,199054464,4092016,1210319,2019-20
PRIXCAR SERVICES PTY LTD,42007063505,106441456,0,0,2019-20
PRIXCAR TRANSPORT SERVICES PTY LTD,18158361721,125570136,0,0,2019-20
PROBUILD CONSTRUCTIONS (AUST) PTY LTD,93095250945,1607038465,4914713,527512,2019-20
PROCTER & GAMBLE AUSTRALIA PTY LIMITED,91008396245,563728397,9685082,2876365,2019-20
PROJECT QUILL I PTY LTD,41617774017,893668991,0,0,2019-20
PROJECT SUNSHINE I PTY LTD,13167275818,373638691,137668033,40378232,2019-20
PROSEGUR AUSTRALIA HOLDINGS PTY LIMITED,44166656739,111525580,0,0,2019-20
PROSPA GROUP LIMITED,13625648722,140447979,0,0,2019-20
PROSSER (2015) PTY LTD,43606139164,200400279,1176647,352994,2019-20
PROUDS JEWELLERS PTY LIMITED,99073053273,544477936,39122747,11736824,2019-20
PRUDENTIAL INVESTMENT COMPANY OF AUSTRALIA PTY LIMITED AUSTRALIA PTY LIMITED,84004266817,112150541,11845435,3553630,2019-20
PRYSMIAN AUSTRALIA PTY LIMITED,36096594080,586541027,20685371,4491022,2019-20
PSC INSURANCE GROUP LIMITED,81147812164,107819138,30088014,8608564,2019-20
PUMA AUSTRALIA PTY LTD,52050539501,107061549,0,0,2019-20
